,col_0,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22,col_23,col_24,col_25,col_26,col_27,col_28,col_29,col_30,col_31,col_32,col_33,col_34,col_35,col_36,col_37,col_38,col_39,col_40,col_41,col_42,col_43,col_44,col_45,col_46,col_47,col_48,col_49,col_50,col_51,col_52,col_53,col_54,col_55,col_56,col_57,col_58,col_59,col_60,col_61,col_62,col_63,col_64,col_65,col_66,col_67,col_68,col_69,col_70,col_71,col_72,col_73,col_74,col_75,col_76,col_77,col_78,col_79,col_80,col_81,col_82,col_83,col_84,col_85,col_86,col_87,col_88,col_89,col_90,col_91,col_92,col_93,col_94,col_95,col_96,col_97,col_98,col_99,col_100,col_101,col_102,col_103,col_104,col_105,col_106,col_107,col_108,col_109,col_110,col_111,targets
13,8,2389,0,1,0,6,-1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,18,6,61,0,0,1,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,0,1,2,304,1
14,18,3086,0,0,0,7,0,18,0,0,0,0,0,1,1,0,1,0,0,0,0,0,23,579,7,127,0,1,1,3,108,0,7,0,19,0,81,17,1076,0,0,0,42,1,0,0,0,159,17,98,207,0,0,0,1110,51,8,201,0,0,43,1,0,157,15,78,34,38052.6322581,155,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,1,0,238,1
15,6,266,0,0,0,3,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,13,3,0,0,0,1,2,16,1,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,556.631578947,19,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,63,1
16,1,305,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,13,1,0,0,0,1,2,29,0,0,0,1,0,2,0,43,0,0,0,6,0,0,0,0,0,1,2,0,0,0,0,43,0,0,0,0,0,5,0,0,0,1,2,3,11234.2528736,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,10,905,0,4,0,0,2,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,39,3,4,0,0,1,3,0,2,0,0,6,0,66,0,453,0,0,2,14,0,0,0,0,40,26,160,40,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,767.533333333,30,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,0,56,1
18,0,194,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,1,3,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,1
19,6,682,0,8,0,0,2,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,67,7,4,0,0,1,0,35,0,0,0,0,0,5,6,37,0,0,0,0,0,0,0,0,15,0,0,1,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,706.152173913,46,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,91,1
20,4,239,0,0,0,2,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,10,1,0,0,0,1,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,85,1
21,0,1002,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,13,0,3,1,2,0,1,0,0,0,0,1,0,38,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,558.233333333,60,13,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,1,1,0,0,1,371,1
22,0,191,0,1,0,9,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,9,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,1,0,1,0,0,0,0,82,1
23,4,877,0,2,0,3,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,71,4,1,0,0,1,4,25,1,0,0,6,0,50,0,632,0,0,0,11,0,0,0,0,32,7,74,9,0,0,0,647,31,0,8,0,0,11,0,0,31,6,57,24,59321.0253165,79,10,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,230,1
24,0,605,0,1,0,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,25,5,23,0,1,1,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,13,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,1,0,1,1,0,0,0,210,1
25,1,385,0,1,0,3,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,1,12,3,1,0,0,1,0,18,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1082.43478261,23,10,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,62,1
26,1,55,0,0,0,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,2,654,1,0,1,2,5,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,27,3,7,0,2,1,4,5,1,0,1,0,0,22,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,14610.5072464,69,14,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,2,0,0,0,0,1,0,1,0,543,1
28,0,342,0,1,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,7,0,0,1,2,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,569.318181818,22,9,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,110,1
29,1,408,0,46,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,54,1,7,0,0,1,4,3,0,0,0,0,0,50,0,148,0,0,7,37,7,6,0,0,1,2,66,0,0,0,0,185,27,0,0,0,6,37,7,6,1,1,53,1,46187.6326531,49,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,114,1
30,1,656,0,0,0,9,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,29,9,0,0,2,1,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,22,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,3,0,0,0,0,1,0,1,6,747,1
31,14,1419,0,1,0,6,7,14,0,0,0,0,0,0,1,0,1,0,0,0,0,0,15,159,6,8,0,0,1,4,67,0,0,0,18,0,52,0,897,0,0,6,52,4,0,0,0,63,10,47,22,0,0,0,898,35,0,16,0,4,45,4,0,59,10,37,45,13625.2560241,332,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,229,1
32,0,793,0,2,0,5,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25,6,64,0,1,1,9,0,0,0,0,0,0,8,0,438,0,0,7,6,0,0,0,0,24,9,228,4,0,0,0,724,0,0,0,0,0,0,0,0,0,0,0,0,498.12244898,49,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,0,0,0,0,1,0,1,7,380,1
33,45,618,0,1,0,10,0,45,0,0,0,0,0,0,1,0,1,0,0,0,0,0,51,74,11,1,0,1,1,4,0,1,0,0,0,0,25,0,127,0,0,0,0,0,0,0,0,14,0,23,6,0,0,0,157,10,0,6,0,0,0,0,0,11,0,11,0,60252.1954023,87,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,181,1
34,5,333,0,1,0,1,7,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,40,1,0,0,0,1,1,0,0,0,0,0,0,18,0,241,0,0,0,6,1,4,0,0,11,2,37,34,0,0,0,252,13,0,31,0,0,6,1,4,12,2,29,4,113734.5,42,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,63,1
35,0,515,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,40,2,15,0,1,1,15,8,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,183,1
36,0,17,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,125,1
37,50,4305,0,1,0,2,7,50,0,0,0,0,0,0,1,0,1,0,0,0,0,0,62,805,2,1,0,3,1,1,106,0,0,0,0,0,195,0,3513,0,0,14,26,3,8,0,0,523,14,448,295,0,0,0,3833,109,0,286,0,2,17,3,0,486,12,73,218,12445.3827893,337,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,5,0,0,0,1,1,0,1,0,406,1
38,5,441,0,15,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,11,14,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,49,1
39,2,1750,0,9,0,11,0,2,0,0,0,0,0,0,1,0,1,2617,0,0,0,0,2,107,16,43,0,0,1,3,27,0,0,0,7,0,27,0,340,0,0,6,34,0,7,0,0,17,14,62,3,0,0,0,353,20,0,0,0,6,29,0,7,15,10,54,16,15257.4668874,302,18,0,0,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,3,1,0,0,1,1,0,1,1,262,1
40,43,2605,2,0,1,1,6,43,0,0,0,0,0,1,1,0,1,0,0,0,0,0,50,570,4,0,0,4,1,5,7,2,0,0,0,0,119,6,2736,0,0,33,130,0,1,0,0,657,8,127,1351,0,0,0,2877,102,0,1342,0,10,120,0,1,649,2,63,2,22456.7407407,27,13,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,543,1
41,4,948,1,14,0,0,6,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,74,14,3,0,0,1,5,0,2,0,0,0,0,42,0,1002,0,0,8,36,4,5,2,0,44,4,89,5,0,0,0,1095,32,0,0,0,2,32,3,5,22,3,38,9,10301.1191919,495,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,0,1,63,1
42,1,883,0,11,0,6,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,62,16,6,0,1,1,6,6,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,43594.2954545,44,16,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,2,0,0,0,1,1,0,1,0,366,1
43,0,465,0,0,12,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,23,12,3,0,0,1,2,2,29,2,0,0,0,0,0,66,0,0,6,5,0,0,0,0,9,6,20,0,0,0,0,112,0,0,0,0,0,0,0,0,0,0,0,0,1577.15,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,89,1
44,4,983,0,3,0,6,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,94,8,3,2,0,1,19,7,2,0,2,7,0,48,0,536,0,0,5,20,2,12,1,0,44,8,131,25,0,0,0,620,31,0,21,0,3,20,2,12,34,8,61,20,91101.484375,64,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,2,0,0,0,0,0,0,1,0,73,1
45,2,133,0,1,0,2,7,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2,9,2,0,0,0,1,0,0,0,0,0,0,0,2,0,97,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,98,1,0,0,0,0,0,0,0,0,1,2,0,14967.826087,92,6,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,182,1
46,1,668,0,4,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,61,3,11,0,0,1,1,0,2,0,0,0,0,12,0,59,0,0,2,1,0,0,0,0,4,13,66,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,233.833333333,54,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,0,0,0,116,1
47,4,1120,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,85,4,1,0,0,1,1,9,0,0,0,0,0,20,0,58,0,0,23,0,0,0,0,0,4,0,79,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0,12760.6231884,138,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,146,1
48,6,1381,0,28,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,0,0,0,12,96,27,8,0,0,1,1,10,0,0,0,0,0,275,0,1475,0,0,11,217,2,8,0,0,93,53,432,7,0,0,0,1642,150,0,7,0,11,216,2,8,91,53,349,44,31294.7088608,158,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,171,1
49,0,68,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,62,1
50,1,231,0,0,6,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,15,6,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,0,107,1
51,9,1953,0,32,0,7,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,107,38,104,0,2,1,4,57,3,0,0,0,0,647,68,1830,0,0,3,125,7,2,0,0,84,47,849,31,0,0,0,2260,490,19,31,0,0,106,0,2,114,44,579,48,114799.440299,134,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,4,0,1,0,1,1,0,0,1,234,1
52,0,136,0,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,102,1
53,0,1146,0,0,0,6,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,6,14,0,4,1,7,5,0,0,0,0,0,2,0,42,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,480.352941176,85,18,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1,1,0,1,3,486,1
54,0,132,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,61,1
55,35,1513,0,2,0,3,7,35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,41,320,5,2,112,0,1,2,0,0,0,0,3,0,1153,0,2471,1,0,4,476,1,2,0,0,685,348,662,1248,0,0,0,3050,924,0,675,0,1,284,1,60,941,397,636,82,81524.4035088,57,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,0,1,1,0,0,0,80,1
